"Date","Parashah","Aliyah","Reading","Verses"
11-Aug-2027,"Erev Tish'a B'Av","Megillah Ch. 4","Lamentations 4:1-4:22",22
11-Aug-2027,"Erev Tish'a B'Av","Megillah Ch. 5","Lamentations 5:1-5:22",22

12-Aug-2027,"Tish'a B'Av",1,"Deuteronomy 4:25-4:29",5
12-Aug-2027,"Tish'a B'Av",2,"Deuteronomy 4:30-4:35",6
12-Aug-2027,"Tish'a B'Av",3,"Deuteronomy 4:36-4:40",5
12-Aug-2027,"Tish'a B'Av","Haftara","Jeremiah 8:13-9:23",34
12-Aug-2027,"Tish'a B'Av","Megillah Ch. 1","Lamentations 1:1-1:22",22
12-Aug-2027,"Tish'a B'Av","Megillah Ch. 2","Lamentations 2:1-2:22",22
12-Aug-2027,"Tish'a B'Av","Megillah Ch. 3","Lamentations 3:1-3:66",66
12-Aug-2027,"Tish'a B'Av","Megillah Ch. 4","Lamentations 4:1-4:22",22
12-Aug-2027,"Tish'a B'Av","Megillah Ch. 5","Lamentations 5:1-5:22",22

12-Aug-2027,"Tish'a B'Av (Mincha)",1,"Exodus 32:11-32:14",4
12-Aug-2027,"Tish'a B'Av (Mincha)",2,"Exodus 34:1-34:3",3
12-Aug-2027,"Tish'a B'Av (Mincha)","maf","Exodus 34:4-34:10",7
12-Aug-2027,"Tish'a B'Av (Mincha)","Haftara","Isaiah 55:6-56:8",16

14-Aug-2027,"Vaetchanan",1,"Deuteronomy 3:23-4:4",11
14-Aug-2027,"Vaetchanan",2,"Deuteronomy 4:5-4:40",36
14-Aug-2027,"Vaetchanan",3,"Deuteronomy 4:41-4:49",9
14-Aug-2027,"Vaetchanan",4,"Deuteronomy 5:1-5:18",18
14-Aug-2027,"Vaetchanan",5,"Deuteronomy 5:19-6:3",15
14-Aug-2027,"Vaetchanan",6,"Deuteronomy 6:4-6:25",22
14-Aug-2027,"Vaetchanan",7,"Deuteronomy 7:1-7:11",11
14-Aug-2027,"Vaetchanan","maf","Deuteronomy 7:9-7:11",3
14-Aug-2027,"Vaetchanan","Haftara","Isaiah 40:1-26",26

21-Aug-2027,"Eikev",1,"Deuteronomy 7:12-8:10",25
21-Aug-2027,"Eikev",2,"Deuteronomy 8:11-9:3",13
21-Aug-2027,"Eikev",3,"Deuteronomy 9:4-9:29",26
21-Aug-2027,"Eikev",4,"Deuteronomy 10:1-10:11",11
21-Aug-2027,"Eikev",5,"Deuteronomy 10:12-11:9",20
21-Aug-2027,"Eikev",6,"Deuteronomy 11:10-11:21",12
21-Aug-2027,"Eikev",7,"Deuteronomy 11:22-11:25",4
21-Aug-2027,"Eikev","maf","Deuteronomy 11:22-11:25",4
21-Aug-2027,"Eikev","Haftara","Isaiah 49:14-51:3",27

28-Aug-2027,"Re'eh",1,"Deuteronomy 11:26-12:10",17
28-Aug-2027,"Re'eh",2,"Deuteronomy 12:11-12:28",18
28-Aug-2027,"Re'eh",3,"Deuteronomy 12:29-13:19",22
28-Aug-2027,"Re'eh",4,"Deuteronomy 14:1-14:21",21
28-Aug-2027,"Re'eh",5,"Deuteronomy 14:22-14:29",8
28-Aug-2027,"Re'eh",6,"Deuteronomy 15:1-15:18",18
28-Aug-2027,"Re'eh",7,"Deuteronomy 15:19-16:17",22
28-Aug-2027,"Re'eh","maf","Deuteronomy 16:13-16:17",5
28-Aug-2027,"Re'eh","Haftara","Isaiah 54:11-55:5",12

02-Sep-2027,"Rosh Chodesh Elul",1,"Numbers 28:1-28:3",3
02-Sep-2027,"Rosh Chodesh Elul",2,"Numbers 28:3-28:5",3
02-Sep-2027,"Rosh Chodesh Elul",3,"Numbers 28:6-28:10",5
02-Sep-2027,"Rosh Chodesh Elul",4,"Numbers 28:11-28:15",5

03-Sep-2027,"Rosh Chodesh Elul",1,"Numbers 28:1-28:3",3
03-Sep-2027,"Rosh Chodesh Elul",2,"Numbers 28:3-28:5",3
03-Sep-2027,"Rosh Chodesh Elul",3,"Numbers 28:6-28:10",5
03-Sep-2027,"Rosh Chodesh Elul",4,"Numbers 28:11-28:15",5

04-Sep-2027,"Shoftim",1,"Deuteronomy 16:18-17:13",18
04-Sep-2027,"Shoftim",2,"Deuteronomy 17:14-17:20",7
04-Sep-2027,"Shoftim",3,"Deuteronomy 18:1-18:5",5
04-Sep-2027,"Shoftim",4,"Deuteronomy 18:6-18:13",8
04-Sep-2027,"Shoftim",5,"Deuteronomy 18:14-19:13",22
04-Sep-2027,"Shoftim",6,"Deuteronomy 19:14-20:9",17
04-Sep-2027,"Shoftim",7,"Deuteronomy 20:10-21:9",20
04-Sep-2027,"Shoftim","maf","Deuteronomy 21:7-21:9",3
04-Sep-2027,"Shoftim","Haftara","Isaiah 51:12-52:12",24

11-Sep-2027,"Ki Teitzei",1,"Deuteronomy 21:10-21:21",12
11-Sep-2027,"Ki Teitzei",2,"Deuteronomy 21:22-22:7",9
11-Sep-2027,"Ki Teitzei",3,"Deuteronomy 22:8-23:7",29
11-Sep-2027,"Ki Teitzei",4,"Deuteronomy 23:8-23:24",17
11-Sep-2027,"Ki Teitzei",5,"Deuteronomy 23:25-24:4",6
11-Sep-2027,"Ki Teitzei",6,"Deuteronomy 24:5-24:13",9
11-Sep-2027,"Ki Teitzei",7,"Deuteronomy 24:14-25:19",28
11-Sep-2027,"Ki Teitzei","maf","Deuteronomy 25:17-25:19",3
11-Sep-2027,"Ki Teitzei","Haftara","Isaiah 54:1-10",10

18-Sep-2027,"Ki Tavo",1,"Deuteronomy 26:1-26:11",11
18-Sep-2027,"Ki Tavo",2,"Deuteronomy 26:12-26:15",4
18-Sep-2027,"Ki Tavo",3,"Deuteronomy 26:16-26:19",4
18-Sep-2027,"Ki Tavo",4,"Deuteronomy 27:1-27:10",10
18-Sep-2027,"Ki Tavo",5,"Deuteronomy 27:11-28:6",22
18-Sep-2027,"Ki Tavo",6,"Deuteronomy 28:7-28:69",63
18-Sep-2027,"Ki Tavo",7,"Deuteronomy 29:1-29:8",8
18-Sep-2027,"Ki Tavo","maf","Deuteronomy 29:6-29:8",3
18-Sep-2027,"Ki Tavo","Haftara","Isaiah 60:1-22",22

25-Sep-2027,"Nitzavim-Vayeilech",1,"Deuteronomy 29:9-29:28",20
25-Sep-2027,"Nitzavim-Vayeilech",2,"Deuteronomy 30:1-30:6",6
25-Sep-2027,"Nitzavim-Vayeilech",3,"Deuteronomy 30:7-30:14",8
25-Sep-2027,"Nitzavim-Vayeilech",4,"Deuteronomy 30:15-31:6",12
25-Sep-2027,"Nitzavim-Vayeilech",5,"Deuteronomy 31:7-31:13",7
25-Sep-2027,"Nitzavim-Vayeilech",6,"Deuteronomy 31:14-31:19",6
25-Sep-2027,"Nitzavim-Vayeilech",7,"Deuteronomy 31:20-31:30",11
25-Sep-2027,"Nitzavim-Vayeilech","maf","Deuteronomy 31:28-31:30",3
25-Sep-2027,"Nitzavim-Vayeilech","Haftara","Isaiah 61:10-63:9",23

